dVmax,ADP90,ADP50,Vreps,tdV
3.48658,249,230,-87.4728,5.97
3.45672,244,225,-87.5489,5.97
3.32019,216,196,-87.7455,5.97
3.506,243,224,-87.5677,5.96
3.53312,242,218,-87.7024,5.96
3.101,238,213,-87.6637,5.98
3.57293,227,210,-87.388,5.96
3.35924,231,211,-87.5341,5.97
3.26899,233,214,-87.4749,5.97
3.39139,229,212,-87.3604,5.97
3.45471,214,194,-87.6548,5.96
3.47165,205,187,-87.5541,5.97
3.41229,221,199,-87.6174,5.97
3.55223,234,216,-87.4829,5.96
3.57332,216,199,-87.4358,5.96
3.09858,232,211,-87.5838,5.98
3.47064,209,190,-87.4317,5.97
3.28308,234,215,-87.5183,5.97
3.60152,246,225,-87.5827,5.96
3.3138,215,196,-87.5536,5.97
3.23313,224,206,-87.562,5.98
3.20556,221,201,-87.6893,5.98
3.10706,267,243,-87.6497,5.98
3.42494,216,196,-87.6258,5.97
3.48684,248,230,-87.4448,5.96
3.41272,232,214,-87.4266,5.97
3.5259,236,219,-87.417,5.96
3.61748,250,229,-87.7355,5.96
3.07911,245,223,-87.6199,5.98
3.16963,257,235,-87.6349,5.98
3.0864,225,203,-87.7576,5.98
3.10137,255,231,-87.7742,5.98
3.36129,226,205,-87.7073,5.97
