dVmax,ADP90,ADP50,Vreps,tdV
3.07713,165,154,-74.4904,5.74
3.4229,196,183,-80.013,5.83
3.3526,187,174,-80.5768,5.84
2.97089,175,163,-77.6147,5.8
2.9314,139,126,-83.5541,5.93
3.32798,96,85,-84.75,5.94
3.13975,163,152,-73.6619,5.72
3.18564,187,173,-82.75,5.89
3.08438,137,128,-70.6677,5.66
3.07022,177,165,-77.8874,5.8
3.00074,158,148,-70.4078,5.66
3.12344,131,121,-74.393,5.74
2.99565,121,109,-83.765,5.93
3.39388,128,119,-76.8966,5.77
2.86614,168,155,-77.5955,5.81
3.37898,170,157,-84.1475,5.92
3.04698,164,153,-72.963,5.71
3.04772,154,143,-75.3728,5.76
2.85381,109,99,-78.6928,5.84
2.86299,167,155,-76.1585,5.78
3.39742,167,156,-79.2464,5.82
2.84507,125,116,-70.295,5.67
3.4073,117,106,-83.8499,5.92
3.1474,171,157,-85.118,5.94
3.04736,84,75,-75.179,5.76
3.23979,167,154,-81.5484,5.87
3.06036,75,66,-74.4761,5.75
2.99264,77,69,-72.7672,5.72
3.44212,198,186,-80.1183,5.83
2.89845,163,150,-80.3633,5.86
3.27239,149,136,-85.3453,5.95
3.32726,170,158,-78.0165,5.8
3.14639,179,167,-78.1518,5.81
3.05407,92,83,-73.1752,5.72
2.92602,125,113,-80.0924,5.86
3.26492,118,109,-74.3541,5.73
3.20441,154,143,-80.1921,5.85
3.12914,169,159,-69.8475,5.64
3.19762,156,143,-85.4599,5.95
3.32177,154,144,-74.4928,5.73
3.1933,175,164,-76.2347,5.77
3.08146,161,148,-82.694,5.9
2.84306,147,136,-75.3529,5.77
3.35068,147,138,-71.7162,5.67
3.17234,163,153,-73.106,5.7
3.35819,91,83,-73.6026,5.71
3.09149,90,81,-77.0187,5.8
3.38919,134,122,-84.8238,5.93
3.55252,159,147,-84.8878,5.92
2.90838,146,136,-71.21,5.68
3.21785,112,102,-77.6676,5.8
3.2651,174,165,-71.3592,5.66
3.1386,124,114,-74.5585,5.74
3.16068,186,173,-80.264,5.85
3.44329,163,151,-82.2685,5.88
3.36297,183,171,-80.0494,5.83
3.04549,168,157,-73.3616,5.72
3.29239,174,164,-70.9601,5.66
3.24237,103,91,-86.3078,5.97
3.08959,164,150,-85.2563,5.95
2.88956,98,88,-78.0584,5.82
3.29919,153,141,-82.1081,5.88
2.98496,94,84,-77.5745,5.81
3.36121,145,134,-82.4177,5.88
3.47409,140,128,-84.823,5.93
2.89236,158,147,-74.0258,5.74
2.86606,151,139,-79.4044,5.85
3.33671,193,181,-77.5499,5.78
3.27745,133,123,-75.8302,5.76
2.90757,102,92,-76.7385,5.8
3.49924,200,186,-84.5079,5.91
3.14456,168,158,-72.8657,5.7
3.13584,132,122,-77.4082,5.8
3.53923,123,111,-88.1724,6.0
3.02412,152,139,-81.1836,5.87
3.41758,194,180,-83.4723,5.9
3.07212,134,124,-75.8019,5.77
3.60848,198,183,-86.4899,5.95
3.01488,92,83,-71.7906,5.69
3.325,181,170,-73.4703,5.7
3.34722,138,128,-77.8033,5.79
3.41378,193,180,-83.4037,5.9
2.96748,89,81,-73.5322,5.73
3.30171,105,96,-77.1185,5.79
3.52078,187,174,-84.3449,5.91
2.86745,106,97,-74.045,5.74
3.11574,105,95,-79.4413,5.84
3.04975,84,75,-79.0803,5.84
3.36197,110,101,-73.209,5.7
3.25477,179,169,-71.4041,5.67
2.90129,113,103,-74.9642,5.76
2.8926,154,141,-80.5251,5.87
3.29468,169,158,-74.7979,5.73
2.84279,157,145,-75.9366,5.78
3.21454,87,78,-79.4001,5.84
3.10645,94,86,-73.4353,5.72
2.8903,168,156,-75.0488,5.76
3.0824,137,127,-75.0013,5.75
2.96089,117,105,-81.4514,5.89
3.20298,132,122,-77.0424,5.79
3.62403,138,125,-88.3232,5.99
3.33553,156,146,-73.5088,5.71
3.20095,139,127,-83.9126,5.92
3.03897,124,116,-70.2594,5.66
3.1776,140,130,-71.3346,5.67
3.01627,141,131,-72.0307,5.69
3.23131,173,160,-83.1182,5.9
3.10868,140,130,-76.1926,5.77
2.98341,112,103,-72.0859,5.7
3.20083,108,99,-75.6884,5.76
2.93046,161,151,-70.5268,5.66
3.16959,112,102,-76.0843,5.77
3.31998,165,155,-73.9938,5.72
3.25108,186,174,-76.4222,5.77
3.22518,176,165,-73.3326,5.71
3.09665,170,158,-78.478,5.82
3.10846,168,156,-78.8493,5.82
3.28156,86,78,-75.0535,5.75
3.04794,160,146,-85.2346,5.95
3.2086,137,127,-73.4756,5.71
3.29046,165,152,-83.3104,5.9
3.14909,125,116,-72.0311,5.69
3.42058,197,183,-84.0574,5.91
3.40085,153,140,-85.1883,5.94
3.02431,114,105,-72.6061,5.71
2.97191,123,112,-79.4452,5.84
2.82649,140,130,-68.8552,5.64
3.13156,81,72,-77.292,5.8
2.95927,164,151,-79.9648,5.85
3.28007,142,133,-71.2392,5.66
3.47346,206,192,-85.5941,5.94
2.9872,160,147,-80.9645,5.87
3.34823,178,167,-77.0633,5.78
3.30354,193,178,-84.6125,5.93
3.04536,95,86,-76.5431,5.79
3.5309,168,155,-84.6956,5.92
3.27066,120,110,-76.9244,5.78
2.95469,172,158,-81.8633,5.89
3.28867,161,148,-83.965,5.92
3.48052,205,190,-85.9298,5.94
3.12509,153,141,-81.3979,5.87
3.41709,168,156,-83.0886,5.89
3.05692,144,133,-75.3518,5.76
3.39241,144,133,-78.7749,5.81
3.22214,174,165,-70.8946,5.66
3.49628,158,146,-84.1551,5.91
3.45812,98,89,-81.798,5.88
3.28065,164,151,-82.699,5.89
3.40629,168,156,-80.912,5.85
3.41995,155,143,-81.0296,5.85
3.37749,171,158,-82.9379,5.89
3.10164,137,124,-85.4098,5.96
3.26742,80,72,-72.3218,5.69
